Date,U.S. Exports of Crude Oil and Petroleum Products (Thousand Barrels),U.S. Exports of Crude Oil (Thousand Barrels),U.S. Exports of Natural Gas Liquids and Liquid Refinery Gases (Thousand Barrels),U.S. Exports of Pentanes Plus (Thousand Barrels),U.S. Exports of Liquified Petroleum Gases (Thousand Barrels),U.S. Exports of Ethane-Ethylene (Thousand Barrels),U.S. Exports of Propane and Propylene (Thousand Barrels),U.S. Exports of Normal Butane-Butylene (Thousand Barrels),U.S. Exports of Isobutane-Isobutylene (Thousand Barrels),U.S. Exports of Other Liquids (Thousand Barrels),U.S. Exports of Other Hydrocarbons/Oxygenates (Thousand Barrels),U.S. Exports of Oxygenates (excluding Fuel Ethanol) (Thousand Barrels),U.S. Exports of MTBE (Thousand Barrels),U.S. Exports of Other Oxygenates (Thousand Barrels),U.S. Exports of Renewable Fuels (including Fuel Ethanol) (Thousand Barrels),U.S. Exports of Fuel Ethanol (Thousand Barrels),U.S. Exports of Biomass-Based Diesel Fuel (Thousand Barrels),U.S. Exports of Unfinished Oils (Thousand Barrels),U.S. Exports of Naphthas and Lighter (Thousand Barrels),U.S. Exports of Kerosene and Light Oils (Thousand Barrels),U.S. Exports of Gasoline Blending Components (Thousand Barrels),U.S. Exports of Reformulated Gasoline Blending Components (Thousand Barrels),U.S. Exports of Conventional Gasoline Blending Components (Thousand Barrels),U.S. Exports of Aviation Gasoline Blending Components (Thousand Barrels),U.S. Exports of Finished Petroleum Products (Thousand Barrels),U.S. Exports of Finished Motor Gasoline (Thousand Barrels),U.S. Exports of Reformulated Motor Gasoline (Thousand Barrels),U.S. Exports of Conventional Motor Gasoline (Thousand Barrels),U.S. Exports of Aviation Gasoline (Thousand Barrels),U.S. Exports of Kerosene-Type Jet Fuel (Thousand Barrels),U.S. Exports of Kerosene (Thousand Barrels),U.S. Exports of Distillate Fuel Oil (Thousand Barrels),"U.S. Exports of Distillate Fuel Oil, 0 to 15 ppm Sulfur (Thousand Barrels)","U.S. Exports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur (Thousand Barrels)","U.S. Exports of Distillate Fuel Oil, Greater Than 500 ppm Sulfur (Thousand Barrels)",U.S. Exports of Residual Fuel Oil (Thousand Barrels),U.S. Exports of Naphtha for Petrochemical Feedstock Use (Thousand Barrels),U.S. Exports of Other Oils for Petrochemical Feedstock Use (Thousand Barrels),U.S. Exports of Special Naphthas (Thousand Barrels),U.S. Exports of Lubricants (Thousand Barrels),U.S. Exports of Waxes (Thousand Barrels),U.S. Exports of Petroleum Coke (Thousand Barrels),U.S. Exports of Asphalt and Road Oil (Thousand Barrels),U.S. Exports of Miscellaneous Petroleum Products (Thousand Barrels),
Mar-1944,,2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,,,
Apr-1944,,2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,
May-1944,,3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872,,,,,,,,,
Jun-1944,,3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,,,,,,,,,
Jul-1944,,3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,,,,,,,,,
Aug-1944,,3387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,
Sep-1944,,3354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,,,,,,,,,
Oct-1944,,2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,,,,,,,,,
Nov-1944,,3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,,,,,,,,,
Dec-1944,,1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,,
Jan-1945,,1302,,,,,,,,,,,,,,,,,,,,,,,,9718,,,,,,2429,,,,1143,,,,,,,,,
Feb-1945,,1599,,,,,,,,,,,,,,,,,,,,,,,,7655,,,,,,1760,,,,511,,,,,,,,,
Mar-1945,,1973,,,,,,,,,,,,,,,,,,,,,,,,12359,,,,,,2549,,,,1370,,,,,,,,,
Apr-1945,,2663,,,,,,,,,,,,,,,,,,,,,,,,12561,,,,,,3119,,,,1298,,,,,,,,,
May-1945,,3208,,,,,,,,,,,,,,,,,,,,,,,,11680,,,,,,4127,,,,1285,,,,,,,,,
Jun-1945,,2915,,,,,,,,,,,,,,,,,,,,,,,,9903,,,,,,4913,,,,1145,,,,,,,,,
Jul-1945,,3533,,,,,,,,,,,,,,,,,,,,,,,,6436,,,,,,3358,,,,1563,,,,,,,,,
Aug-1945,,3308,,,,,,,,,,,,,,,,,,,,,,,,2899,,,,,,2182,,,,890,,,,,,,,,
Sep-1945,,3166,,,,,,,,,,,,,,,,,,,,,,,,4439,,,,,,1604,,,,621,,,,,,,,,
Oct-1945,,3603,,,,,,,,,,,,,,,,,,,,,,,,2449,,,,,,2619,,,,599,,,,,,,,,
Nov-1945,,3399,,,,,,,,,,,,,,,,,,,,,,,,2958,,,,,,2648,,,,497,,,,,,,,,
Dec-1945,,2329,,,,,,,,,,,,,,,,,,,,,,,,5002,,,,,,2188,,,,747,,,,,,,,,
Jan-1946,,1932,,,,,,,,,,,,,,,,,,,,,,,,4974,,,,,,2540,,,,753,,,,,,,,,
Feb-1946,,1997,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,1885,,,,794,,,,,,,,,
Mar-1946,,2720,,,,,,,,,,,,,,,,,,,,,,,,5546,,,,,,1854,,,,973,,,,,,,,,
Apr-1946,,3618,,,,,,,,,,,,,,,,,,,,,,,,3532,,,,,,3606,,,,856,,,,,,,,,
May-1946,,3614,,,,,,,,,,,,,,,,,,,,,,,,3038,,,,,,4147,,,,532,,,,,,,,,
Jun-1946,,3323,,,,,,,,,,,,,,,,,,,,,,,,2859,,,,,,4115,,,,566,,,,,,,,,
Jul-1946,,4290,,,,,,,,,,,,,,,,,,,,,,,,2752,,,,,,2738,,,,931,,,,,,,,,
Aug-1946,,4368,,,,,,,,,,,,,,,,,,,,,,,,3945,,,,,,3018,,,,666,,,,,,,,,
Sep-1946,,4152,,,,,,,,,,,,,,,,,,,,,,,,3925,,,,,,2064,,,,1039,,,,,,,,,
Oct-1946,,4244,,,,,,,,,,,,,,,,,,,,,,,,2676,,,,,,1028,,,,811,,,,,,,,,
Nov-1946,,3325,,,,,,,,,,,,,,,,,,,,,,,,3249,,,,,,877,,,,514,,,,,,,,,
Dec-1946,,3167,,,,,,,,,,,,,,,,,,,,,,,,3938,,,,,,1481,,,,1051,,,,,,,,,
Jan-1947,,2481,,,,,,,,,,,,,,,,,,,,,,,,3268,,,,,,1069,,,,901,,,,,,,,,
Feb-1947,,2585,,,,,,,,,,,,,,,,,,,,,,,,5035,,,,,,1992,,,,1015,,,,,,,,,
Mar-1947,,3257,,,,,,,,,,,,,,,,,,,,,,,,4531,,,,,,2358,,,,776,,,,,,,,,
Apr-1947,,3999,,,,,,,,,,,,,,,,,,,,,,,,3862,,,,,,3246,,,,1112,,,,,,,,,
May-1947,,4789,,,,,,,,,,,,,,,,,,,,,,,,3700,,,,,,2347,,,,893,,,,,,,,,
Jun-1947,,3758,,,,,,,,,,,,,,,,,,,,,,,,4424,,,,,,2385,,,,992,,,,,,,,,
Jul-1947,,5184,,,,,,,,,,,,,,,,,,,,,,,,4327,,,,,,3561,,,,844,,,,,,,,,
Aug-1947,,4139,,,,,,,,,,,,,,,,,,,,,,,,3889,,,,,,3274,,,,945,,,,,,,,,
Sep-1947,,4087,,,,,,,,,,,,,,,,,,,,,,,,3444,,,,,,3357,,,,1030,,,,,,,,,
Oct-1947,,3712,,,,,,,,,,,,,,,,,,,,,,,,3768,,,,,,3239,,,,908,,,,,,,,,
Nov-1947,,3844,,,,,,,,,,,,,,,,,,,,,,,,3921,,,,,,1934,,,,545,,,,,,,,,
Dec-1947,,4520,,,,,,,,,,,,,,,,,,,,,,,,3280,,,,,,1115,,,,784,,,,,,,,,
Jan-1948,,2992,,,,,,,,,,,,,,,,,,,,,,,,2315,,,,,,1933,,,,614,,,,,,,,,
Feb-1948,,2626,,,,,,,,,,,,,,,,,,,,,,,,1736,,,,,,1340,,,,789,,,,,,,,,
Mar-1948,,3138,,,,,,,,,,,,,,,,,,,,,,,,2610,,,,,,1767,,,,821,,,,,,,,,
Apr-1948,,3538,,,,,,,,,,,,,,,,,,,,,,,,3613,,,,,,1914,,,,1337,,,,,,,,,
May-1948,,3362,,,,,,,,,,,,,,,,,,,,,,,,3644,,,,,,2456,,,,1031,,,,,,,,,
Jun-1948,,3419,,,,,,,,,,,,,,,,,,,,,,,,3377,,,,,,2258,,,,1169,,,,,,,,,
Jul-1948,,3661,,,,,,,,,,,,,,,,,,,,,,,,4298,,,,,,2486,,,,1279,,,,,,,,,
Aug-1948,,3974,,,,,,,,,,,,,,,,,,,,,,,,3354,,,,,,2167,,,,1459,,,,,,,,,
Sep-1948,,3362,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,,1370,,,,1227,,,,,,,,,
Oct-1948,,3404,,,,,,,,,,,,,,,,,,,,,,,,2875,,,,,,1510,,,,1328,,,,,,,,,
Nov-1948,,3192,,,,,,,,,,,,,,,,,,,,,,,,2913,,,,,,1336,,,,901,,,,,,,,,
Dec-1948,,3068,,,,,,,,,,,,,,,,,,,,,,,,3267,,,,,,1271,,,,1047,,,,,,,,,
Jan-1949,,2127,,,,,,,,,,,,,,,,,,,,,,,,3995,,,,,,1546,,,,1047,,,,,,,,,
Feb-1949,,1942,,,,,,,,,,,,,,,,,,,,,,,,3660,,,,,,1246,,,,967,,,,,,,,,
Mar-1949,,1866,,,,,,,,,,,,,,,,,,,,,,,,4081,,,,,,1685,,,,1196,,,,,,,,,
Apr-1949,,3655,,,,,,,,,,,,,,,,,,,,,,,,3832,,,,,,1271,,,,871,,,,,,,,,
May-1949,,2872,,,,,,,,,,,,,,,,,,,,,,,,4231,,,,,,866,,,,1314,,,,,,,,,
Jun-1949,,3071,,,,,,,,,,,,,,,,,,,,,,,,3528,,,,,,869,,,,1037,,,,,,,,,
Jul-1949,,2866,,,,,,,,,,,,,,,,,,,,,,,,2399,,,,,,694,,,,1191,,,,,,,,,
Aug-1949,,3403,,,,,,,,,,,,,,,,,,,,,,,,4020,,,,,,1034,,,,811,,,,,,,,,
Sep-1949,,2619,,,,,,,,,,,,,,,,,,,,,,,,2613,,,,,,832,,,,745,,,,,,,,,
Oct-1949,,2916,,,,,,,,,,,,,,,,,,,,,,,,2867,,,,,,846,,,,1193,,,,,,,,,
Nov-1949,,3010,,,,,,,,,,,,,,,,,,,,,,,,2262,,,,,,875,,,,1046,,,,,,,,,
Dec-1949,,2722,,,,,,,,,,,,,,,,,,,,,,,,1859,,,,,,531,,,,1223,,,,,,,,,
Jan-1950,,2130,,,,,,,,,,,,,,,,,,,,,,,,1597,,,,,,876,,,,1178,,,,,,,,,
Feb-1950,,2328,,,,,,,,,,,,,,,,,,,,,,,,2060,,,,,,1193,,,,978,,,,,,,,,
Mar-1950,,2153,,,,,,,,,,,,,,,,,,,,,,,,1691,,,,,,1152,,,,1604,,,,,,,,,
Apr-1950,,2968,,,,,,,,,,,,,,,,,,,,,,,,2357,,,,,,1033,,,,1201,,,,,,,,,
May-1950,,2946,,,,,,,,,,,,,,,,,,,,,,,,2227,,,,,,874,,,,1270,,,,,,,,,
Jun-1950,,3095,,,,,,,,,,,,,,,,,,,,,,,,1914,,,,,,895,,,,1844,,,,,,,,,
Jul-1950,,3274,,,,,,,,,,,,,,,,,,,,,,,,1992,,,,,,1116,,,,1299,,,,,,,,,
Aug-1950,,3096,,,,,,,,,,,,,,,,,,,,,,,,1585,,,,,,967,,,,1639,,,,,,,,,
Sep-1950,,2654,,,,,,,,,,,,,,,,,,,,,,,,2391,,,,,,1061,,,,1189,,,,,,,,,
Oct-1950,,4033,,,,,,,,,,,,,,,,,,,,,,,,2369,,,,,,1339,,,,1098,,,,,,,,,
Nov-1950,,3229,,,,,,,,,,,,,,,,,,,,,,,,2047,,,,,,1112,,,,1202,,,,,,,,,
Dec-1950,,2917,,,,,,,,,,,,,,,,,,,,,,,,2491,,,,,,943,,,,1726,,,,,,,,,
Jan-1951,,2913,,,,,,,,,,,,,,,,,,,,,,,,1788,,,,,,916,,,,946,,,,,,,,,
Feb-1951,,2471,,,,,,,,,,,,,,,,,,,,,,,,1607,,,,,,844,,,,1036,,,,,,,,,
Mar-1951,,2640,,,,,,,,,,,,,,,,,,,,,,,,2349,,,,,,980,,,,1474,,,,,,,,,
Apr-1951,,3615,,,,,,,,,,,,,,,,,,,,,,,,2412,,,,,,1552,,,,1446,,,,,,,,,
May-1951,,1791,,,,,,,,,,,,,,,,,,,,,,,,2867,,,,,,2204,,,,2927,,,,,,,,,
Jun-1951,,2342,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,1419,,,,2902,,,,,,,,,
Jul-1951,,2320,,,,,,,,,,,,,,,,,,,,,,,,4215,,,,,,2454,,,,3612,,,,,,,,,
Aug-1951,,2361,,,,,,,,,,,,,,,,,,,,,,,,4674,,,,,,3357,,,,3446,,,,,,,,,
Sep-1951,,2199,,,,,,,,,,,,,,,,,,,,,,,,4806,,,,,,2804,,,,3454,,,,,,,,,
Oct-1951,,1947,,,,,,,,,,,,,,,,,,,,,,,,3827,,,,,,2512,,,,3045,,,,,,,,,
Nov-1951,,1858,,,,,,,,,,,,,,,,,,,,,,,,4732,,,,,,1494,,,,2403,,,,,,,,,
Dec-1951,,2147,,,,,,,,,,,,,,,,,,,,,,,,3859,,,,,,2019,,,,2308,,,,,,,,,
Jan-1952,,2303,,,,,,,,,,,,,,,,,,,,,,,,3111,,,,,,2083,,,,2138,,,,,,,,,
Feb-1952,,2211,,,,,,,,,,,,,,,,,,,,,,,,2620,,,,,,1916,,,,2019,,,,,,,,,
Mar-1952,,2939,,,,,,,,,,,,,,,,,,,,,,,,2497,,,,,,1459,,,,2408,,,,,,,,,
Apr-1952,,3340,,,,,,,,,,,,,,,,,,,,,,,,3052,,,,,,2958,,,,2864,,,,,,,,,
May-1952,,1718,,,,,,,,,,,,,,,,,,,,,,,,1556,,,,,,2938,,,,3103,,,,,,,,,
Jun-1952,,2388,,,,,,,,,,,,,,,,,,,,,,,,2470,,,,,,3857,,,,3139,,,,,,,,,
Jul-1952,,1876,,,,,,,,,,,,,,,,,,,,,,,,3390,,,,,,3213,,,,2819,,,,,,,,,
Aug-1952,,1966,,,,,,,,,,,,,,,,,,,,,,,,3031,,,,,,2542,,,,2145,,,,,,,,,
Sep-1952,,1664,,,,,,,,,,,,,,,,,,,,,,,,2785,,,,,,3473,,,,1760,,,,,,,,,
Oct-1952,,1526,,,,,,,,,,,,,,,,,,,,,,,,3194,,,,,,3031,,,,1926,,,,,,,,,
Nov-1952,,1805,,,,,,,,,,,,,,,,,,,,,,,,3996,,,,,,3217,,,,1602,,,,,,,,,
Dec-1952,,2960,,,,,,,,,,,,,,,,,,,,,,,,4583,,,,,,3229,,,,1778,,,,,,,,,
Jan-1953,,2211,,,,,,,,,,,,,,,,,,,,,,,,3175,,,,,,2349,,,,1839,,,,,,,,,
Feb-1953,,2011,,,,,,,,,,,,,,,,,,,,,,,,3218,,,,,,3764,,,,1953,,,,,,,,,
Mar-1953,,2171,,,,,,,,,,,,,,,,,,,,,,,,3117,,,,,,3330,,,,2350,,,,,,,,,
Apr-1953,,2833,,,,,,,,,,,,,,,,,,,,,,,,4066,,,,,,3136,,,,2366,,,,,,,,,
May-1953,,1611,,,,,,,,,,,,,,,,,,,,,,,,2865,,,,,,2928,,,,2059,,,,,,,,,
Jun-1953,,1824,,,,,,,,,,,,,,,,,,,,,,,,2634,,,,,,3007,,,,2117,,,,,,,,,
Jul-1953,,1232,,,,,,,,,,,,,,,,,,,,,,,,3393,,,,,,2401,,,,1765,,,,,,,,,
Aug-1953,,1321,,,,,,,,,,,,,,,,,,,,,,,,3004,,,,,,1640,,,,2385,,,,,,,,,
Sep-1953,,1109,,,,,,,,,,,,,,,,,,,,,,,,3625,,,,,,2199,,,,2254,,,,,,,,,
Oct-1953,,1178,,,,,,,,,,,,,,,,,,,,,,,,2628,,,,,,2591,,,,2580,,,,,,,,,
Nov-1953,,1052,,,,,,,,,,,,,,,,,,,,,,,,3134,,,,,,2273,,,,2341,,,,,,,,,
Dec-1953,,1378,,,,,,,,,,,,,,,,,,,,,,,,3066,,,,,,2710,,,,1982,,,,,,,,,
Jan-1954,,1587,,,,,,,,,,,,,,,,,,,,,,,,2705,,,,,,1780,,,,1770,,,,,,,,,
Feb-1954,,795,,,,,,,,,,,,,,,,,,,,,,,,2833,,,,,,1468,,,,2104,,,,,,,,,
Mar-1954,,873,,,,,,,,,,,,,,,,,,,,,,,,1776,,,,,,1652,,,,2788,,,,,,,,,
Apr-1954,,1418,,,,,,,,,,,,,,,,,,,,,,,,2539,,,,,,2114,,,,2203,,,,,,,,,
May-1954,,1258,,,,,,,,,,,,,,,,,,,,,,,,3359,,,,,,2176,,,,2619,,,,,,,,,
Jun-1954,,1372,,,,,,,,,,,,,,,,,,,,,,,,3367,,,,,,2430,,,,2408,,,,,,,,,
Jul-1954,,1073,,,,,,,,,,,,,,,,,,,,,,,,3232,,,,,,2018,,,,2334,,,,,,,,,
Aug-1954,,1349,,,,,,,,,,,,,,,,,,,,,,,,2865,,,,,,1546,,,,2076,,,,,,,,,
Sep-1954,,509,,,,,,,,,,,,,,,,,,,,,,,,2942,,,,,,1646,,,,1982,,,,,,,,,
Oct-1954,,1521,,,,,,,,,,,,,,,,,,,,,,,,3148,,,,,,2342,,,,1833,,,,,,,,,
Nov-1954,,1047,,,,,,,,,,,,,,,,,,,,,,,,2967,,,,,,2911,,,,2291,,,,,,,,,
Dec-1954,,797,,,,,,,,,,,,,,,,,,,,,,,,2633,,,,,,2118,,,,2345,,,,,,,,,
Jan-1955,,381,,,,,,,,,,,,,,,,,,,,,,,,2829,,,,,,1993,,,,3260,,,,,,,,,
Feb-1955,,976,,,,,,,,,,,,,,,,,,,,,,,,2280,,,,,,1051,,,,3423,,,,,,,,,
Mar-1955,,833,,,,,,,,,,,,,,,,,,,,,,,,2452,,,,,,1761,,,,2764,,,,,,,,,
Apr-1955,,1431,,,,,,,,,,,,,,,,,,,,,,,,2376,,,,,,1632,,,,3058,,,,,,,,,
May-1955,,1166,,,,,,,,,,,,,,,,,,,,,,,,3077,,,,,,2319,,,,2914,,,,,,,,,
Jun-1955,,1053,,,,,,,,,,,,,,,,,,,,,,,,2874,,,,,,2469,,,,2998,,,,,,,,,
Jul-1955,,887,,,,,,,,,,,,,,,,,,,,,,,,3486,,,,,,2379,,,,2412,,,,,,,,,
Aug-1955,,1191,,,,,,,,,,,,,,,,,,,,,,,,3199,,,,,,2519,,,,3384,,,,,,,,,
Sep-1955,,870,,,,,,,,,,,,,,,,,,,,,,,,3027,,,,,,2344,,,,2607,,,,,,,,,
Oct-1955,,871,,,,,,,,,,,,,,,,,,,,,,,,3216,,,,,,2603,,,,2446,,,,,,,,,
Nov-1955,,872,,,,,,,,,,,,,,,,,,,,,,,,2686,,,,,,1650,,,,1966,,,,,,,,,
Dec-1955,,1040,,,,,,,,,,,,,,,,,,,,,,,,3019,,,,,,1885,,,,2567,,,,,,,,,
Jan-1956,,994,,,,,,,,,,,,,,,,,,,,,,,,2784,,,,,,1684,,,,1696,,,,,,,,,
Feb-1956,,501,,,,,,,,,,,,,,,,,,,,,,,,1617,,,,,,1876,,,,1616,,,,,,,,,
Mar-1956,,1155,,,,,,,,,,,,,,,,,,,,,,,,2861,,,,,,1737,,,,1905,,,,,,,,,
Apr-1956,,610,,,,,,,,,,,,,,,,,,,,,,,,2759,,,,,,2620,,,,2191,,,,,,,,,
May-1956,,1236,,,,,,,,,,,,,,,,,,,,,,,,2638,,,,,,1571,,,,2343,,,,,,,,,
Jun-1956,,857,,,,,,,,,,,,,,,,,,,,,,,,2635,,,,,,1937,,,,2465,,,,,,,,,
Jul-1956,,748,,,,,,,,,,,,,,,,,,,,,,,,3291,,,,,,1885,,,,2657,,,,,,,,,
Aug-1956,,1179,,,,,,,,,,,,,,,,,,,,,,,,2898,,,,,,2420,,,,2627,,,,,,,,,
Sep-1956,,805,,,,,,,,,,,,,,,,,,,,,,,,3251,,,,,,2330,,,,2072,,,,,,,,,
Oct-1956,,1444,,,,,,,,,,,,,,,,,,,,,,,,2833,,,,,,2899,,,,2038,,,,,,,,,
Nov-1956,,8551,,,,,,,,,,,,,,,,,,,,,,,,3294,,,,,,5291,,,,2692,,,,,,,,,
Dec-1956,,10544,,,,,,,,,,,,,,,,,,,,,,,,4711,,,,,,8142,,,,3575,,,,,,,,,
Jan-1957,,7566,,,,,,,,,,,,,,,,,,,,,,,,4204,,,,,,7316,,,,4385,,,,,,,,,
Feb-1957,,7909,,,,,,,,,,,,,,,,,,,,,,,,3960,,,,,,7988,,,,4158,,,,,,,,,
Mar-1957,,14100,,,,,,,,,,,,,,,,,,,,,,,,4325,,,,,,7076,,,,4227,,,,,,,,,
Apr-1957,,9232,,,,,,,,,,,,,,,,,,,,,,,,2787,,,,,,5054,,,,4214,,,,,,,,,
May-1957,,3698,,,,,,,,,,,,,,,,,,,,,,,,2895,,,,,,3971,,,,3442,,,,,,,,,
Jun-1957,,1745,,,,,,,,,,,,,,,,,,,,,,,,3187,,,,,,2560,,,,3193,,,,,,,,,
Jul-1957,,1197,,,,,,,,,,,,,,,,,,,,,,,,2492,,,,,,2806,,,,3159,,,,,,,,,
Aug-1957,,1036,,,,,,,,,,,,,,,,,,,,,,,,3403,,,,,,2793,,,,2997,,,,,,,,,
Sep-1957,,739,,,,,,,,,,,,,,,,,,,,,,,,3311,,,,,,1630,,,,1979,,,,,,,,,
Oct-1957,,1007,,,,,,,,,,,,,,,,,,,,,,,,2712,,,,,,2243,,,,2505,,,,,,,,,
Nov-1957,,926,,,,,,,,,,,,,,,,,,,,,,,,3315,,,,,,2365,,,,2129,,,,,,,,,
Dec-1957,,1088,,,,,,,,,,,,,,,,,,,,,,,,1997,,,,,,1950,,,,2182,,,,,,,,,
Jan-1958,,425,,,,,,,,,,,,,,,,,,,,,,,,2198,,,,,,1555,,,,1695,,,,,,,,,
Feb-1958,,213,,,,,,,,,,,,,,,,,,,,,,,,2035,,,,,,1835,,,,1573,,,,,,,,,
Mar-1958,,838,,,,,,,,,,,,,,,,,,,,,,,,1892,,,,,,1889,,,,1989,,,,,,,,,
Apr-1958,,643,,,,,,,,,,,,,,,,,,,,,,,,2432,,,,,,1165,,,,1564,,,,,,,,,
May-1958,,503,,,,,,,,,,,,,,,,,,,,,,,,2210,,,,,,1557,,,,2557,,,,,,,,,
Jun-1958,,216,,,,,,,,,,,,,,,,,,,,,,,,1918,,,,,,1309,,,,2356,,,,,,,,,
Jul-1958,,308,,,,,,,,,,,,,,,,,,,,,,,,2612,,,,,,2079,,,,2671,,,,,,,,,
Aug-1958,,334,,,,,,,,,,,,,,,,,,,,,,,,2517,,,,,,1906,,,,2271,,,,,,,,,
Sep-1958,,170,,,,,,,,,,,,,,,,,,,,,,,,2470,,,,,,1563,,,,2768,,,,,,,,,
Oct-1958,,330,,,,,,,,,,,,,,,,,,,,,,,,2410,,,,,,1073,,,,2488,,,,,,,,,
Nov-1958,,292,,,,,,,,,,,,,,,,,,,,,,,,2597,,,,,,2027,,,,1997,,,,,,,,,
Dec-1958,,74,,,,,,,,,,,,,,,,,,,,,,,,2112,,,,,,985,,,,1814,,,,,,,,,
Jan-1959,,352,,,,,,,,,,,,,,,,,,,,,,,,1354,,,,,,1273,,,,2794,,,,,,,,,
Feb-1959,,97,,,,,,,,,,,,,,,,,,,,,,,,1169,,,,,,843,,,,1910,,,,,,,,,
Mar-1959,,178,,,,,,,,,,,,,,,,,,,,,,,,1034,,,,,,1430,,,,2268,,,,,,,,,
Apr-1959,,230,,,,,,,,,,,,,,,,,,,,,,,,1871,,,,,,965,,,,2137,,,,,,,,,
May-1959,,267,,,,,,,,,,,,,,,,,,,,,,,,1736,,,,,,1105,,,,1515,,,,,,,,,
Jun-1959,,192,,,,,,,,,,,,,,,,,,,,,,,,1379,,,,,,1251,,,,2064,,,,,,,,,
Jul-1959,,174,,,,,,,,,,,,,,,,,,,,,,,,1659,,,,,,906,,,,1710,,,,,,,,,
Aug-1959,,237,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,1682,,,,1119,,,,,,,,,
Sep-1959,,151,,,,,,,,,,,,,,,,,,,,,,,,1396,,,,,,989,,,,1452,,,,,,,,,
Oct-1959,,258,,,,,,,,,,,,,,,,,,,,,,,,1372,,,,,,865,,,,1968,,,,,,,,,
Nov-1959,,132,,,,,,,,,,,,,,,,,,,,,,,,1066,,,,,,851,,,,904,,,,,,,,,
Dec-1959,,258,,,,,,,,,,,,,,,,,,,,,,,,1497,,,,,,1195,,,,974,,,,,,,,,
Jan-1960,,264,,,,,,,,,,,,,,,,,,,,,,,,997,,,,,,791,,,,1728,,,,,,,,,
Feb-1960,,298,,,,,,,,,,,,,,,,,,,,,,,,878,,,,,,1012,,,,1685,,,,,,,,,
Mar-1960,,260,,,,,,,,,,,,,,,,,,,,,,,,1224,,,,,,983,,,,1767,,,,,,,,,
Apr-1960,,270,,,,,,,,,,,,,,,,,,,,,,,,1613,,,,,,778,,,,1750,,,,,,,,,
May-1960,,127,,,,,,,,,,,,,,,,,,,,,,,,1470,,,,,,1160,,,,1484,,,,,,,,,
Jun-1960,,436,,,,,,,,,,,,,,,,,,,,,,,,1272,,,,,,1171,,,,1967,,,,,,,,,
Jul-1960,,248,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,,,983,,,,875,,,,,,,,,
Aug-1960,,86,,,,,,,,,,,,,,,,,,,,,,,,1096,,,,,,761,,,,1888,,,,,,,,,
Sep-1960,,234,,,,,,,,,,,,,,,,,,,,,,,,1185,,,,,,482,,,,1357,,,,,,,,,
Oct-1960,,352,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,,579,,,,1175,,,,,,,,,
Nov-1960,,0,,,,,,,,,,,,,,,,,,,,,,,,890,,,,,,558,,,,1304,,,,,,,,,
Dec-1960,,512,,,,,,,,,,,,,,,,,,,,,,,,673,,,,,,639,,,,1515,,,,,,,,,
Jan-1961,,135,,,,,,,,,,,,,,,,,,,,,,,,1054,,,,,,728,,,,1176,,,,,,,,,
Feb-1961,,295,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,300,,,,1014,,,,,,,,,
Mar-1961,,339,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,458,,,,1322,,,,,,,,,
Apr-1961,,316,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,556,,,,1253,,,,,,,,,
May-1961,,229,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,811,,,,1615,,,,,,,,,
Jun-1961,,435,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,,,699,,,,1125,,,,,,,,,
Jul-1961,,178,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,591,,,,805,,,,,,,,,
Aug-1961,,309,,,,,,,,,,,,,,,,,,,,,,,,837,,,,,,352,,,,1398,,,,,,,,,
Sep-1961,,130,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,341,,,,880,,,,,,,,,
Oct-1961,,190,,,,,,,,,,,,,,,,,,,,,,,,589,,,,,,750,,,,1194,,,,,,,,,
Nov-1961,,400,,,,,,,,,,,,,,,,,,,,,,,,870,,,,,,602,,,,954,,,,,,,,,
Dec-1961,,271,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,743,,,,1286,,,,,,,,,
