Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 1,016,518 "," 229,104 "," 151,596 "," 416,456 "," 53,490 "," 134,242 "," 31,630 "
Afghanistan," 9,849 ", 283 , 48 , 859 , 77 , 171 ," 8,411 "
Albania," 3,625 ", 424 , 67 ," 1,644 "," 1,341 ", 135 , 14 
Algeria," 1,580 ", 143 , 15 , 432 , 971 , 16 , 3 
Angola, 151 , 21 , 14 , 73 , 16 , 27 , - 
Anguilla, 24 , D , D , 15 , - , - , - 
Antigua-Barbuda, 398 , 139 , 15 , 232 , 6 , D , D 
Argentina," 3,757 ", 194 ," 1,000 "," 2,251 ", 61 , 139 , 112 
Armenia," 2,917 ", 307 , 96 ," 1,050 "," 1,217 ", 240 , 7 
Aruba, 43 , D , 4 , 34 , - , D , - 
Australia," 3,582 ", 261 ," 1,103 "," 1,709 ", 489 , 4 , 16 
Austria," 1,088 ", 45 , 170 , 204 , D , 632 , D 
Azerbaijan, 514 , D , 53 , 195 , 130 , 96 , D 
Bahamas, 710 , 56 , 114 , 527 , 5 , 5 , 3 
Bahrain, 173 , 22 , 37 , 71 , 15 , 28 , - 
Bangladesh," 14,340 "," 8,607 ", 429 ," 5,129 ", 7 , 106 , 62 
Barbados, 416 , 136 , 42 , 231 , D , - , D 
Belarus," 2,024 ", 110 , 143 , 612 , 794 , 354 , 11 
Belgium, 775 , 40 , 367 , 312 , 31 , 15 , 10 
Belize, 823 , 235 , 52 , 509 , D , D , 18 
Benin, 510 , 43 , 8 , 198 , 228 , 29 , 4 
Bermuda, 144 , D , 47 , 79 , - , - , D 
Bhutan, 118 , D , - , 22 , 7 , 82 , D 
Bolivia," 1,663 ", 333 , 237 , 966 , 23 , 49 , 55 
Bosnia-Herzegovina, 588 , 36 , 31 , 453 , 31 , 37 , - 
Botswana, 110 , D , 15 , 39 , 15 , 36 , D 
Brazil," 10,246 ", 621 ," 2,273 "," 6,996 ", 9 , 176 , 171 
British Virgin Islands, 87 , 42 , D , 37 , D , D , D 
Brunei, 23 , D , 13 , D , D , - , - 
Bulgaria," 2,886 ", 175 , 251 ," 1,416 "," 1,001 ", 34 , 9 
Burkina Faso, 643 , 21 , 12 , 232 , 213 , 158 , 7 
Burma," 1,772 ", 396 , 50 , 532 , 226 , 564 , 4 
Burundi, 181 , 3 , 15 , 32 , 29 , 102 , - 
Cambodia," 2,473 ", 418 , 57 ," 1,591 ", 381 , 21 , 5 
Cameroon," 3,826 ", 336 , 90 ," 1,175 "," 1,294 ", 919 , 12 
Canada," 17,670 "," 1,531 "," 9,075 "," 6,553 ", 212 , 99 , 200 
Cape Verde," 1,119 ", 527 , D , 583 , 4 , D , D 
Cayman Islands, 73 , 20 , 17 , 36 , - , - , - 
Central African Republic, 84 , D , 4 , 18 , D , 57 , D 
Chad, 130 , 7 , D , 19 , 9 , 92 , D 
Chile," 1,591 ", 168 , 329 ," 1,009 ", 14 , 40 , 31 
"China, People's Republic"," 72,492 "," 15,867 "," 20,783 "," 23,959 ", 30 ," 11,681 ", 172 
Colombia," 17,614 "," 4,181 "," 1,370 "," 11,181 ", 9 , 710 , 163 
"Congo, Democratic Republic"," 3,064 ", 139 , 25 , 379 ," 2,139 ", 372 , 10 
"Congo, Republic", 398 , 10 , 12 , 88 , 117 , 167 , 4 
Costa Rica," 2,018 ", 196 , 196 ," 1,514 ", 24 , 67 , 21 
Cote d'Ivoire," 1,359 ", 122 , 31 , 499 , 343 , 336 , 28 
Croatia, 271 , D , 44 , 158 , 25 , 29 , D 
Cuba," 46,505 "," 3,676 ", 4 ," 2,524 ", 279 ," 40,008 ", 14 
Curacao, 31 , 8 , 6 , 10 , 4 , 3 , - 
Cyprus, 147 , D , 38 , 78 , 19 , D , - 
Czech Republic, 581 , 26 , 115 , 388 , 38 , 11 , 3 
Czechoslovakia (former), 74 , D , 25 , 40 , - , 5 , D 
Denmark, 533 , 34 , 217 , 230 , 41 , 6 , 5 
Djibouti, 405 , 9 , - , 54 , 21 , 321 , - 
Dominica, 334 , 218 , D , 110 , D , - , - 
Dominican Republic," 44,550 "," 25,001 ", 298 ," 18,988 ", 6 , 117 , 140 
Ecuador," 10,871 "," 4,577 ", 875 ," 4,761 ", D , D , 395 
Egypt," 12,043 "," 1,031 ", 652 ," 2,783 "," 3,347 "," 4,200 ", 30 
El Salvador," 18,964 "," 8,155 ", 952 ," 7,892 ", - , 362 ," 1,603 "
Equatorial Guinea, 24 , D , D , 8 , 3 , 10 , - 
Eritrea, 785 , 42 , D , 309 , 70 , 358 , D 
Estonia, 207 , 8 , 21 , 154 , 18 , 6 , - 
Ethiopia," 12,926 "," 1,342 ", 136 ," 4,568 "," 2,530 "," 4,327 ", 23 
Fiji, 762 , 252 , 14 , 264 , 205 , 24 , 3 
Finland, 368 , D , 138 , 178 , 40 , D , D 
France," 4,544 ", 224 ," 1,906 "," 2,034 ", 328 , 36 , 16 
French Polynesia, 25 , D , D , 21 , - , - , D 
Gabon, 185 , 5 , 7 , 79 , 14 , 77 , 3 
Gambia," 1,093 ", 111 , 12 , 623 , 20 , 279 , 48 
Georgia," 1,146 ", 76 , 46 , 610 , 343 , 58 , 13 
Germany," 6,387 ", 313 ," 1,846 "," 3,530 ", 588 , 75 , 35 
Ghana," 7,191 ", 930 , 251 ," 4,221 "," 1,525 ", 242 , 22 
Greece," 1,388 ", 80 , 251 , 851 , 177 , 20 , 9 
Grenada, 623 , 153 , 26 , 430 , D , D , 7 
Guatemala," 9,871 "," 2,979 ", 872 ," 4,049 ", 37 , 570 ," 1,364 "
Guinea," 1,395 ", 98 , 14 , 417 , 228 , 600 , 38 
Guinea-Bissau, 25 , D , - , 21 , - , D , - 
Guyana," 6,031 "," 4,036 ", 64 ," 1,892 ", 12 , 8 , 19 
Haiti," 15,107 "," 6,961 ", D ," 6,506 ", D ," 1,337 ", 198 
Honduras," 8,025 "," 2,196 ", 701 ," 4,395 ", 30 , 238 , 465 
Hong Kong," 2,515 "," 1,168 ", 510 , 743 , 48 , 38 , 8 
Hungary, 970 , 33 , 180 , 629 , 102 , 22 , 4 
Iceland, 79 , 3 , 29 , 40 , 7 , - , - 
India," 74,451 "," 15,740 "," 38,593 "," 18,480 ", 84 , 909 , 645 
Indonesia," 1,997 ", 166 , 426 ," 1,105 ", 53 , 225 , 22 
Iran," 8,894 "," 1,993 ", 867 ," 2,547 "," 2,721 ", 728 , 38 
Iraq," 8,760 ", 152 , 39 , 499 , 42 ," 4,669 "," 3,359 "
Ireland," 1,721 ", 36 , 666 , 929 , 79 , 4 , 7 
Israel," 4,251 ", 330 ," 1,421 "," 2,206 ", 209 , 61 , 24 
Italy," 3,647 ", 227 , 970 ," 1,970 ", 342 , 127 , 11 
Jamaica," 18,804 "," 6,281 ", 599 ," 11,826 ", - , 48 , 50 
Japan," 5,980 ", 201 ," 2,341 "," 3,119 ", 260 , 27 , 32 
Jordan," 9,028 "," 1,870 ", 247 ," 2,957 ", 147 ," 3,719 ", 88 
Kazakhstan," 1,006 ", 64 , 65 , 487 , 215 , 166 , 9 
Kenya," 8,299 ", 557 , 335 ," 3,588 "," 1,293 "," 2,495 ", 31 
"Korea, North", 200 , D , 62 , 107 , - , D , - 
