Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
"Korea, South"," 20,113 "," 1,544 "," 11,458 "," 6,988 ", 20 , 11 , 92 
Kosovo, 783 , 119 , 14 , 421 , 96 , 130 , 3 
Kuwait, 804 , 128 , 125 , 323 , D , 127 , D 
Kyrgyzstan, 710 , 39 , 15 , 216 , 183 , 253 , 4 
Laos, 771 , 44 , 25 , 665 , D , 33 , D 
Latvia, 372 , 31 , 21 , 263 , 42 , 12 , 3 
Lebanon," 5,165 "," 1,114 ", 302 ," 1,555 ", 46 ," 2,137 ", 11 
Lesotho, 13 , D , D , 6 , D , D , - 
Liberia," 3,681 ", 391 , 13 ," 1,283 "," 1,666 ", 322 , 6 
Libya, 313 , D , 10 , 178 , 71 , 43 , D 
Lithuania, 708 , 52 , 53 , 484 , 107 , 7 , 5 
Luxembourg, 32 , D , 13 , 14 , D , - , - 
Macau, 155 , 71 , 28 , 52 , 4 , - , - 
Macedonia, 947 , 167 , D , 528 , 172 , 40 , D 
Madagascar, 80 , D , 22 , 39 , 13 , D , - 
Malawi, 198 , 11 , 23 , 99 , 22 , 35 , 8 
Malaysia," 9,009 ", 212 , 516 , 707 , 90 ," 7,473 ", 11 
Maldives, 22 , D , 5 , D , 11 , D , - 
Mali, 626 , 39 , 23 , 303 , 27 , 198 , 36 
Malta, 234 , D , D , 18 , - , 209 , - 
Marshall Islands, 56 , - , D , 51 , D , - , - 
Mauritania, 259 , 11 , 12 , 83 , D , 148 , D 
Mauritius, 52 , 10 , 11 , 23 , D , D , 4 
Mexico," 133,107 "," 33,976 "," 7,292 "," 81,347 ", 19 , 646 ," 9,827 "
Moldova," 2,242 ", 95 , 48 , 676 , 995 , 402 , 26 
Monaco, 11 , - , D , D , - , - , - 
Mongolia, 607 , 35 , 93 , 263 , 71 , 133 , 12 
Montenegro, 283 , 63 , 7 , 175 , 10 , 28 , - 
Montserrat, 31 , D , D , 16 , - , - , - 
Morocco," 3,495 ", 471 , 87 ," 2,003 ", 887 , 33 , 14 
Mozambique, 119 , D , D , 21 , - , 88 , 7 
Namibia, 48 , D , 6 , 30 , D , 7 , - 
Nepal," 19,320 ", 793 , 896 ," 1,614 "," 3,327 "," 12,655 ", 35 
Netherlands," 1,373 ", 61 , 583 , 601 , 82 , 31 , 15 
Netherlands Antilles (former), 41 , D , 5 , 33 , - , D , - 
New Zealand, 941 , 110 , 242 , 475 , 106 , 3 , 5 
Nicaragua," 2,773 ", 779 , 57 ," 1,723 ", 10 , 112 , 92 
Niger, 88 , D , - , 46 , 30 , D , - 
Nigeria," 12,427 "," 1,844 ", 722 ," 7,023 "," 2,694 ", 104 , 40 
Norway, 332 , 15 , 96 , 195 , 22 , D , D 
Oman, 158 , 41 , 34 , 45 , 11 , 10 , 17 
Pakistan," 18,166 "," 8,069 "," 1,944 "," 7,529 ", 33 , 527 , 64 
Palau, 18 , D , 4 , 10 , - , D , - 
Panama," 1,164 ", 256 , 79 , 777 , 23 , 20 , 9 
Papua New Guinea, 12 , - , - , D , D , - , - 
Paraguay, 363 , 31 , 29 , 282 , D , D , 13 
Peru," 10,450 "," 3,060 ", 636 ," 6,356 ", - , 189 , 209 
Philippines," 48,633 "," 16,476 "," 7,740 "," 24,207 ", D , D , 174 
Poland," 5,437 ", 932 , 964 ," 2,986 ", 489 , 19 , 47 
Portugal, 920 , 105 , 169 , 594 , 31 , 13 , 8 
Qatar, 480 , 106 , 85 , 124 , 139 , 26 , - 
Romania," 3,022 ", 232 , 409 ," 1,858 ", 410 , 100 , 13 
Russia," 9,455 ", 588 ," 1,171 "," 4,602 "," 1,933 "," 1,121 ", 40 
Rwanda, 771 , 19 , 11 , 64 , 140 , 537 , - 
Saint Kitts-Nevis, 268 , 118 , 11 , 136 , - , - , 3 
Saint Lucia, 826 , 248 , 13 , 539 , 13 , D , D 
Saint Vincent and the Grenadines, 437 , 126 , 11 , 288 , 4 , - , 8 
Samoa, 231 , D , D , 207 , - , - , - 
Saudi Arabia," 1,981 ", 297 , 281 , 828 , 375 , 189 , 11 
Senegal," 1,319 ", 167 , 53 , 820 , 99 , 129 , 51 
Serbia," 1,183 ", 83 , 112 , 731 , 223 , 34 , - 
Serbia and Montenegro, 190 , 6 , 22 , 102 , - , 55 , 5 
Sierra Leone," 1,632 ", 153 , 46 , 691 , 657 , 81 , 4 
Singapore," 1,506 ", 83 , 965 , 389 , 48 , 16 , 5 
Sint Maarten, 58 , 29 , D , 25 , D , - , - 
Slovakia, 513 , 31 , 101 , 272 , 24 , 85 , - 
Slovenia, 76 , D , 14 , 52 , D , 4 , - 
Somalia, 607 , 29 , D , 262 , 16 , 297 , D 
South Africa," 2,871 ", 150 , 883 ," 1,160 ", 329 , 334 , 15 
South Sudan, 41 , D , - , 25 , D , 11 , - 
Soviet Union (former), 584 , 15 , 10 , 517 , D , 34 , D 
Spain," 3,341 ", 246 ," 1,036 "," 1,417 ", 216 , 413 , 13 
Sri Lanka," 1,628 ", 224 , 405 , 464 , 262 , 266 , 7 
Sudan," 1,395 ", 137 , D , 463 , 402 , 372 , D 
Suriname, 160 , 56 , 9 , 89 , - , 3 , 3 
Swaziland, 51 , D , 12 , 18 , 15 , D , D 
Sweden," 1,147 ", 67 , 446 , 532 , 67 , 17 , 18 
Switzerland, 888 , 22 , 439 , 327 , 70 , 19 , 11 
Syria," 4,677 ", 821 , 168 ," 1,312 ", 38 ," 2,329 ", 9 
Taiwan," 4,712 ", 968 ," 1,619 "," 1,949 ", 156 , 3 , 17 
Tajikistan, 476 , D , 28 , 176 , 179 , 74 , D 
Tanzania, 910 , 53 , 55 , 387 , 36 , 369 , 10 
Thailand," 9,335 ", 308 , 402 ," 3,019 ", 16 ," 5,366 ", 224 
Togo," 1,599 ", 179 , 6 , 692 , 560 , 144 , 18 
Tonga, 302 , 103 , - , 192 , 7 , - , - 
Trinidad and Tobago," 3,983 ", 922 , 231 ," 2,670 ", 73 , 9 , 78 
Tunisia," 1,160 ", 29 , D , 283 , 51 , 768 , D 
Turkey," 7,248 ", 227 , 857 ," 1,660 ", 899 ," 3,581 ", 24 
Turkmenistan, 221 , 15 , 14 , 75 , 97 , 20 , - 
Turks and Caicos Islands, 57 , 16 , 6 , 31 , - , 4 , - 
Uganda," 2,196 ", 112 , 89 , 751 , 202 ," 1,037 ", 5 
Ukraine," 7,555 ", 823 , 518 ," 3,832 "," 1,758 ", 561 , 63 
United Arab Emirates," 2,209 ", 433 , 502 , 559 , 373 , 235 , 107 
United Kingdom," 14,395 ", 972 ," 5,905 "," 7,060 ", 357 , 36 , 65 
Uruguay," 1,098 ", 45 , 94 , 844 , 11 , 53 , 51 
Uzbekistan," 4,930 ", 357 , 72 , 765 ," 3,406 ", 281 , 49 
Vanuatu, 11 , 5 , - , 6 , - , - , - 
Venezuela," 8,289 ", 748 ," 1,884 "," 3,723 ", 660 ," 1,209 ", 65 
Vietnam," 29,825 "," 18,407 ", 454 ," 10,799 ", D , 113 , D 
Yemen," 3,467 ", 653 , 66 ," 2,322 ", 239 , 184 , 3 
Zambia, 509 , 24 , 32 , 265 , 30 , 155 , 3 
Zimbabwe, 825 , 52 , 79 , 304 , 38 , 338 , 14 
All other countries, 86 , 22 , 9 , 46 , 9 , - , - 
Unknown," 8,430 ", 558 ," 1,713 "," 2,277 ", 180 ," 2,334 "," 1,368 "
,,,,,,,
