Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Greece, 966 , 84 , 142 , 511 , 168 , 55 , 6 
Grenada, 667 , 164 , 35 , 460 , 3 , - , 5 
Guadeloupe, 32 , 15 , 3 , 14 , - , - , - 
Guatemala," 10,263 "," 2,665 "," 1,090 "," 4,083 ", - , 612 ," 1,813 "
Guinea," 1,778 ", 18 , 30 , 398 , 115 ," 1,159 ", 58 
Guinea-Bissau, 25 , - , - , 19 , - , 6 , - 
Guyana," 6,441 "," 3,544 ", 133 ," 2,714 ", 13 , 14 , 23 
Haiti," 22,336 "," 8,428 ", D ," 10,540 ", D ," 2,810 ", 390 
Honduras," 6,381 "," 1,736 ", 621 ," 3,689 ", 21 , 150 , 164 
Hong Kong," 3,263 "," 1,705 ", 448 ," 1,070 ", 26 , 11 , 3 
Hungary," 1,006 ", 41 , 180 , 686 , 79 , 14 , 6 
Iceland, 103 , D , D , 54 , 30 , D , - 
India," 66,185 "," 13,985 "," 29,394 "," 21,028 ", 56 ," 1,541 ", 181 
Indonesia," 2,866 ", 276 , 477 ," 1,385 ", 121 , 573 , 34 
Iran," 9,078 "," 2,410 ", 745 ," 3,812 "," 1,303 ", 789 , 19 
Iraq," 5,102 ", 140 , 52 , 709 , 8 ," 1,929 "," 2,264 "
Ireland," 1,610 ", 21 , 491 , 996 , 93 , D , D 
Israel," 5,172 ", 316 ," 1,815 "," 2,709 ", 248 , 51 , 33 
Italy," 2,956 ", 173 , 880 ," 1,599 ", 249 , 49 , 6 
Jamaica," 19,439 "," 5,270 ", 524 ," 13,547 ", D , 51 , D 
Japan," 7,100 ", 142 ," 2,351 "," 4,330 ", 228 , 22 , 27 
Jordan," 9,327 "," 1,173 ", 248 ," 2,446 ", 68 ," 5,319 ", 73 
Kazakhstan," 1,085 ", 29 , 72 , 672 , 127 , 128 , 57 
Kenya," 10,932 ", 290 , 384 ," 3,413 "," 2,337 "," 4,476 ", 32 
"Korea, North", 16 , D , - , 9 , - , D , - 
"Korea, South"," 22,006 "," 2,311 "," 11,201 "," 8,390 ", 6 , 6 , 92 
Kosovo, 413 , D , D , 252 , 45 , 93 , - 
Kuwait, 753 , 115 , 91 , 429 , 72 , 43 , 3 
Kyrgyzstan, 512 , 24 , 18 , 236 , 111 , 93 , 30 
Laos," 1,062 ", 100 , 55 , 839 , 3 , 60 , 5 
Latvia, 426 , 21 , 42 , 301 , 32 , 22 , 8 
Lebanon," 4,811 ", 916 , 440 ," 1,778 ", 30 ," 1,621 ", 26 
Lesotho, 24 , D , 4 , 17 , - , D , - 
Liberia," 2,924 ", 167 , 34 ," 1,144 ", 755 , 812 , 12 
Libya, 236 , 9 , 6 , 161 , 49 , 11 , - 
Lithuania, 945 , 72 , 79 , 662 , 111 , 9 , 12 
Luxembourg, 41 , D , 24 , 12 , D , - , - 
Macau, 237 , 155 , 20 , 55 , 7 , - , - 
Macedonia," 1,000 ", 150 , 38 , 586 , 146 , 73 , 7 
Madagascar, 70 , - , D , 33 , 18 , D , - 
Malawi, 147 , 7 , 12 , 115 , 10 , D , D 
Malaysia," 5,330 ", 156 , 503 , 709 , 58 ," 3,880 ", 24 
Mali, 552 , 11 , 32 , 302 , 23 , 137 , 47 
Malta, 190 , D , 17 , 20 , D , 149 , - 
Marshall Islands, 41 , - , D , 35 , - , D , - 
Martinique, 12 , D , D , 9 , D , - , - 
Mauritania, 372 , D , 22 , 47 , D , 298 , - 
Mauritius, 78 , 5 , 12 , 30 , 14 , 16 , 1 
Mexico," 138,717 "," 34,073 "," 11,670 "," 88,328 ", 19 , 465 ," 4,162 "
"Micronesia, Federated States", 12 , - , 6 , 6 , - , - , - 
Moldova," 1,925 ", 34 , 55 , 589 , 351 , 548 , 348 
Mongolia, 576 , 4 , 68 , 309 , 77 , 116 , 2 
Montenegro, 134 , 24 , 8 , 74 , 7 , 21 , - 
Montserrat, 20 , D , D , 17 , - , - , - 
Morocco," 4,847 ", 280 , 143 ," 2,672 "," 1,726 ", 8 , 18 
Mozambique, 52 , - , D , 40 , D , 8 , 1 
Namibia, 71 , D , 15 , 38 , D , 14 , - 
Nepal," 13,085 ", 266 , 752 ," 1,299 "," 1,599 "," 9,162 ", 7 
Netherlands," 1,520 ", 92 , 643 , 648 , 108 , 13 , 16 
Netherlands Antilles, 94 , D , 21 , 57 , D , D , 1 
New Caledonia, 12 , D , D , 6 , - , - , - 
New Zealand," 1,046 ", 76 , 347 , 523 , 89 , D , D 
Nicaragua," 3,476 ", 952 , 86 ," 2,154 ", 13 , 121 , 150 
Niger, 98 , - , D , 92 , D , D , - 
Nigeria," 12,784 "," 1,381 ", 632 ," 7,780 "," 2,850 ", 98 , 43 
Norway, 363 , 10 , 76 , 250 , 20 , 5 , 2 
Oman, 169 , 32 , 66 , 47 , 20 , D , D 
Pakistan," 18,411 "," 6,223 "," 2,667 "," 8,907 ", 31 , 518 , 65 
Palau, 19 , 4 , 5 , 7 , 3 , - , - 
Panama," 1,627 ", 247 , 129 ," 1,204 ", 15 , 27 , 5 
Papua New Guinea, 33 , - , 8 , 13 , 12 , - , - 
Paraguay, 449 , 24 , 103 , 299 , 8 , 12 , 3 
Peru," 14,063 "," 2,908 "," 1,134 "," 9,310 ", 4 , 525 , 182 
Philippines," 56,399 "," 17,601 "," 6,053 "," 32,605 ", 7 , 58 , 75 
Poland," 7,391 "," 1,493 "," 1,266 "," 4,557 ", 14 , 16 , 45 
Portugal, 759 , 74 , 146 , 521 , D , D , 10 
Qatar, 391 , 71 , 57 , 179 , 64 , 8 , 12 
Romania," 3,735 ", 311 , 659 ," 2,369 ", 309 , 75 , 12 
Russia," 7,502 ", 325 ," 1,497 "," 3,423 ", 912 ," 1,260 ", 85 
Rwanda, 303 , - , 9 , 98 , 39 , 157 , - 
Saint Kitts-Nevis, 347 , 153 , D , 175 , D , - , 6 
Saint Lucia, 874 , 165 , 28 , 674 , 4 , D , D 
Saint Vincent and the Grenadines, 540 , 116 , 13 , 397 , 5 , - , 9 
Samoa, 197 , 20 , - , 172 , 3 , - , 2 
Saudi Arabia," 1,394 ", 298 , 170 , 656 , 163 , 96 , 11 
Senegal," 1,383 ", 72 , 73 , 882 , 137 , 182 , 37 
Serbia, 31 , D , D , 26 , D , - , - 
Serbia and Montenegro 1," 2,010 ", 110 , 114 ," 1,223 ", 177 , 378 , 8 
Sierra Leone," 1,790 ", 93 , 55 , 875 , 382 , 370 , 15 
Singapore," 1,517 ", 112 , 958 , 387 , 29 , 23 , 8 
Slovakia, 510 , D , 136 , 327 , 31 , D , - 
Slovenia, 63 , D , 6 , 48 , 6 , D , - 
Somalia, 873 , 4 , 3 , 192 , 3 , 671 , - 
South Africa," 2,705 ", 83 ," 1,004 "," 1,275 ", 277 , 51 , 15 
Soviet Union (former)," 4,009 ", 59 , 28 ," 3,595 ", 72 , 56 , 199 
Spain," 2,040 ", 133 , 616 ," 1,054 ", 137 , 83 , 17 
Sri Lanka," 1,874 ", 182 , 448 , 597 , 375 , 262 , 10 
Sudan," 1,521 ", 43 , 19 , 657 , 379 , 419 , 4 
Suriname, 202 , 58 , 16 , 121 , D , - , D 
Swaziland, 26 , - , D , 18 , - , D , - 
Sweden," 1,299 ", 66 , 475 , 652 , 80 , 8 , 18 
Switzerland, 868 , 18 , 400 , 349 , 89 , 7 , 5 
Syria," 7,424 ", 846 , 220 ," 1,202 ", 40 ," 5,068 ", 48 
Taiwan," 6,785 "," 1,793 "," 2,041 "," 2,736 ", 198 , 6 , 11 
Tajikistan, 214 , D , D , 88 , 84 , 27 , - 
Tanzania," 2,893 ", 56 , 103 , 503 , 79 ," 2,151 ", 1 
Thailand," 16,567 ", 339 , 557 ," 4,053 ", 46 ," 11,496 ", 76 
Togo," 1,394 ", 72 , 19 , 614 , 401 , 286 , 2 
Tonga, 320 , 73 , 4 , 217 , 18 , - , 8 
Trinidad and Tobago," 5,449 "," 1,027 ", 406 ," 3,889 ", 90 , 9 , 28 
Tunisia, 404 , 18 , 29 , 291 , 62 , 4 , - 
Turkey," 7,435 ", 179 ," 1,044 "," 2,027 "," 1,061 "," 3,107 ", 17 
Turkmenistan, 195 , 4 , 4 , 73 , 51 , 62 , 1 
Turks and Caicos Islands, 46 , 15 , 7 , 22 , - , - , 2 
Uganda," 1,367 ", 54 , 77 , 580 , 143 , 508 , 5 
Ukraine," 8,242 ", 392 , 528 ," 4,007 "," 1,764 ", 834 , 717 
United Arab Emirates," 1,745 ", 405 , 390 , 635 , 187 , 75 , 53 
United Kingdom," 14,781 ", 904 ," 6,277 "," 7,037 ", 466 , 24 , 73 
Uruguay," 1,286 ", 44 , 169 , 941 , 5 , 113 , 14 
Uzbekistan," 4,575 ", 62 , 78 , 785 ," 3,198 ", 411 , 41 
Venezuela," 9,497 ", 579 ," 2,733 "," 4,430 ", 380 ," 1,340 ", 35 
Vietnam," 30,065 "," 17,814 ", 253 ," 10,942 ", - , 945 , 111 
Yemen," 3,763 ", 569 , 47 ," 2,783 ", 46 , 302 , 16 
Zambia, 791 , 15 , 59 , 396 , 28 , 282 , 11 
Zimbabwe," 1,207 ", 24 , 154 , 413 , 47 , 567 , 2 
All other countries, 83 , 3 , 8 , 62 , 3 , 7 , - 
Unknown," 5,814 ", 513 , 979 ," 2,221 ", 200 , 898 ," 1,003 "
