Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 1,042,625 "," 214,589 "," 148,343 "," 476,414 "," 49,763 "," 136,291 "," 17,225 "
Afghanistan," 1,144 ", 107 , 28 , 651 , 38 , 145 , 175 
Albania," 4,413 ", 241 , 78 ," 1,951 "," 1,511 ", 626 , 6 
Algeria," 1,201 ", 27 , 24 , 413 , 709 , 24 , 4 
Angola, 125 , D , D , 71 , 17 , 25 , - 
Anguilla, 31 , D , D , 18 , - , - , - 
Antigua-Barbuda, 403 , 120 , 23 , 252 , 4 , 3 , 1 
Argentina," 4,312 ", 203 ," 1,236 "," 2,510 ", 61 , 254 , 48 
Armenia," 3,019 ", 179 , 132 , 984 ," 1,001 ", 688 , 35 
Aruba, 53 , D , 7 , 41 , - , D , 1 
Australia," 3,077 ", 175 , 961 ," 1,620 ", 304 , D , D 
Austria," 3,319 ", 49 , 135 , 225 , 67 ," 2,838 ", 5 
Azerbaijan, 559 , 26 , 45 , 240 , 140 , 100 , 8 
Bahamas, 682 , 84 , 53 , 506 , 16 , 8 , 15 
Bahrain, 162 , 23 , 42 , 85 , 6 , D , D 
Bangladesh," 14,513 "," 5,926 ", 723 ," 4,880 "," 2,753 ", 156 , 75 
Barbados, 495 , 119 , 52 , 302 , 17 , D , D 
Belarus," 2,036 ", 64 , 113 , 694 , 743 , 327 , 95 
Belgium, 732 , 32 , 318 , 299 , 63 , 18 , 2 
Belize, 997 , 217 , 56 , 700 , 7 , 7 , 10 
Benin, 698 , 3 , 11 , 174 , 287 , 220 , 3 
Bermuda, 114 , 13 , 17 , 80 , - , 4 , - 
Bhutan, 120 , D , D , 25 , - , 91 , - 
Bolivia," 2,211 ", 266 , 474 ," 1,277 ", 65 , 111 , 18 
Bosnia-Herzegovina, 768 , 18 , 24 , 601 , 23 , 102 , - 
Botswana, 139 , 10 , 26 , 41 , 23 , 39 , - 
Brazil," 12,057 ", 314 ," 3,118 "," 8,177 ", 10 , 336 , 102 
British Virgin Islands, 71 , 18 , 6 , 47 , - , - , - 
Brunei, 28 , D , 14 , 9 , - , D , - 
Bulgaria," 2,465 ", 131 , 289 ," 1,375 ", 529 , 124 , 17 
Burkina Faso, 405 , 13 , 15 , 203 , 111 , 54 , 9 
Burma," 2,049 ", 358 , 65 , 560 , 305 , 760 , 1 
Burundi, 275 , 3 , 15 , 19 , 30 , 208 , - 
Cambodia," 2,957 ", 371 , 56 ," 2,216 ", 118 , 187 , 9 
Cameroon," 4,080 ", 104 , 71 ," 1,033 "," 1,453 "," 1,409 ", 10 
Canada," 19,491 "," 1,750 "," 9,293 "," 7,876 ", 321 , 70 , 181 
Cape Verde," 1,648 ", 722 , 19 , 897 , 5 , - , 5 
Cayman Islands, 103 , 29 , D , 68 , D , D , - 
Central African Republic, 107 , D , - , D , - , 83 , - 
Chad, 106 , D , - , 20 , D , 69 , 8 
Chile," 1,940 ", 205 , 382 ," 1,239 ", 11 , 79 , 24 
"China, People's Republic"," 67,634 "," 12,844 "," 16,278 "," 23,584 ", 47 ," 14,746 ", 135 
Colombia," 21,861 "," 3,254 "," 2,196 "," 13,914 ", D ," 2,407 ", D 
"Congo, Democratic Republic", 963 , 13 , 13 , 123 , 523 , 289 , 2 
"Congo, Republic", 670 , 12 , 23 , 177 , 205 , 245 , 8 
Costa Rica," 2,306 ", 193 , 338 ," 1,654 ", 14 , 91 , 16 
Cote d'Ivoire," 2,322 ", 32 , 52 , 512 , 257 ," 1,414 ", 55 
Croatia, 353 , 16 , 52 , 192 , 18 , 74 , 1 
Cuba," 33,372 ", 424 , 8 ," 3,061 ", 120 ," 29,739 ", 20 
Cyprus, 142 , D , 33 , 82 , 20 , D , 1 
Czech Republic, 220 , 4 , 102 , 77 , 37 , - , - 
Czechoslovakia (former), 780 , 10 , 201 , 545 , 12 , 11 , 1 
Denmark, 545 , 30 , 214 , 252 , 42 , D , D 
Djibouti, 47 , - , D , 23 , D , 20 , - 
Dominica, 363 , 74 , 3 , 283 , 3 , - , - 
Dominican Republic," 53,890 "," 31,116 ", 401 ," 22,206 ", 14 , 77 , 76 
Ecuador," 11,463 "," 3,362 "," 1,642 "," 6,156 ", - , 161 , 142 
Egypt," 9,822 ", 764 , 742 ," 3,425 "," 3,436 "," 1,419 ", 36 
El Salvador," 18,547 "," 7,268 "," 1,086 "," 7,580 ", D , D ," 2,162 "
Eritrea, 918 , 19 , 20 , 208 , 258 , 413 , - 
Estonia, 260 , 12 , 30 , 187 , 11 , 17 , 3 
Ethiopia," 13,853 ", 683 , 146 ," 6,573 "," 3,898 "," 2,538 ", 15 
Fiji," 1,157 ", 357 , 34 , 491 , 218 , 52 , 5 
Finland, 414 , 15 , 181 , 176 , 37 , D , D 
France," 4,289 ", 195 ," 1,914 "," 1,803 ", 339 , 16 , 22 
French Polynesia, 13 , - , D , D , - , - , - 
Gabon, 233 , D , D , 76 , 11 , 143 , - 
Gambia, 900 , 48 , 31 , 561 , 35 , 174 , 51 
Georgia," 1,385 ", 23 , 95 , 766 , 399 , 91 , 11 
Germany," 7,929 ", 333 ," 2,263 "," 4,203 ", 999 , 95 , 36 
Ghana," 8,060 ", 531 , 224 ," 4,336 "," 1,993 ", 955 , 21 
