Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 1,062,040 "," 234,931 "," 139,339 "," 453,158 "," 50,103 "," 168,460 "," 16,049 "
Afghanistan, 969 , 102 , 16 , 520 , 30 , 150 , 151 
Albania," 3,324 ", 265 , 64 ," 1,769 ", 807 , 405 , 14 
Algeria," 1,282 ", 51 , 26 , 400 , 765 , 33 , 7 
Angola, 139 , 10 , 5 , 88 , 11 , 24 , 1 
Anguilla, 32 , 16 , 6 , 10 , - , - , - 
Antigua-Barbuda, 424 , 165 , 14 , 241 , D , D , 2 
Argentina," 4,335 ", 219 ," 1,105 "," 2,640 ", 50 , 257 , 64 
Armenia," 3,001 ", 219 , 104 , 936 , 942 , 781 , 19 
Aruba, 39 , - , 7 , 29 , D , D , - 
Australia," 3,062 ", 205 , 864 ," 1,652 ", 325 , 9 , 7 
Austria," 3,654 ", 53 , 124 , 233 , 64 ," 3,177 ", 3 
Azerbaijan, 517 , 20 , 31 , 204 , 147 , 105 , 10 
Bahamas, 729 , 99 , 58 , 548 , 7 , 5 , 12 
Bahrain, 194 , 44 , 43 , 96 , - , 10 , 1 
Bangladesh," 16,417 "," 7,766 ", 538 ," 4,902 "," 3,021 ", 111 , 79 
Barbados, 485 , 129 , 58 , 285 , D , D , 4 
Belarus," 1,958 ", 56 , 165 , 641 , 655 , 396 , 45 
Belgium, 700 , 28 , 235 , 334 , 70 , 24 , 9 
Belize, 933 , 253 , 47 , 601 , 8 , 8 , 16 
Benin, 571 , 18 , 16 , 181 , 295 , 58 , 3 
Bermuda, 107 , 5 , 23 , 75 , D , D , 1 
Bhutan, 87 , - , D , D , - , 77 , - 
Bolivia," 2,113 ", 361 , 303 ," 1,277 ", 33 , 104 , 35 
Bosnia-Herzegovina, 666 , 23 , 18 , 476 , 34 , 112 , 3 
Botswana, 102 , 4 , 18 , 59 , 8 , 13 , - 
Brazil," 11,643 ", 536 ," 2,385 "," 8,295 ", 10 , 327 , 90 
British Virgin Islands, 72 , 33 , 3 , 36 , - , - , - 
Brunei, 12 , D , 4 , D , D , - , - 
Bulgaria," 2,549 ", 110 , 289 ," 1,448 ", 596 , 88 , 18 
Burkina Faso, 469 , 12 , 32 , 216 , 110 , 86 , 13 
Burma," 2,309 ", 546 , 50 , 667 , 253 , 792 , 1 
Burundi, 279 , - , 5 , 23 , 13 , 238 , - 
Cambodia," 2,681 ", 404 , 43 ," 1,935 ", 176 , 116 , 7 
Cameroon," 4,581 ", 206 , 39 ," 1,084 "," 1,556 "," 1,687 ", 9 
Canada," 19,506 "," 1,808 "," 8,899 "," 8,044 ", 350 , 103 , 302 
Cape Verde," 1,765 ", 859 , 6 , 893 , D , D , 3 
Cayman Islands, 119 , 49 , 13 , 47 , 5 , 3 , 2 
Central African Republic, 90 , D , D , 19 , - , 63 , 1 
Chad, 249 , D , D , 30 , 5 , 211 , - 
Chile," 1,854 ", 195 , 338 ," 1,216 ", 12 , 59 , 34 
"China, People's Republic"," 83,603 "," 17,061 "," 15,949 "," 23,812 ", 41 ," 26,620 ", 120 
Colombia," 22,130 "," 4,664 "," 1,685 "," 13,821 ", 6 ," 1,845 ", 109 
"Congo, Democratic Republic"," 1,166 ", 40 , 12 , 174 , 673 , 266 , 1 
"Congo, Republic", 915 , 20 , 7 , 210 , 450 , 223 , 5 
Costa Rica," 2,230 ", 259 , 163 ," 1,701 ", 11 , 79 , 17 
Cote d'Ivoire," 1,496 ", 58 , 40 , 481 , 165 , 697 , 55 
Croatia, 360 , 10 , 50 , 197 , 19 , 81 , 3 
Cuba," 36,261 ", 643 , D ," 2,319 ", D ," 33,079 ", 22 
Cyprus, 150 , 4 , 57 , 62 , 17 , 10 , - 
Czech Republic, 334 , 6 , 116 , 173 , 34 , 3 , 2 
Czechoslovakia (former), 492 , 7 , 85 , 383 , 11 , 4 , 2 
Denmark, 473 , 11 , 183 , 242 , 28 , 4 , 5 
Djibouti, 57 , - , D , 28 , D , 21 , - 
