Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Dominica, 278 , 78 , D , 195 , D , - , 1 
Dominican Republic," 46,036 "," 24,546 ", 326 ," 21,004 ", 4 , 89 , 67 
Ecuador," 11,068 "," 3,921 "," 1,055 "," 5,725 ", 6 , 198 , 163 
Egypt," 9,096 ", 771 , 653 ," 2,827 "," 2,818 "," 2,006 ", 21 
El Salvador," 18,477 "," 8,113 ", 550 ," 7,303 ", D , D ," 2,078 "
Equatorial Guinea, 12 , - , - , 6 , D , D , - 
Eritrea, 999 , 34 , 22 , 241 , 215 , 487 , - 
Estonia, 189 , 8 , 14 , 139 , 15 , 12 , 1 
Ethiopia," 13,985 "," 1,174 ", 133 ," 5,404 "," 3,517 "," 3,735 ", 22 
Fiji, 987 , 354 , 26 , 403 , 157 , 44 , 3 
Finland, 398 , 8 , 178 , 161 , 45 , 4 , 2 
France," 3,967 ", 199 ," 1,520 "," 1,894 ", 293 , 35 , 26 
French Polynesia, 24 , 3 , 9 , 12 , - , - , - 
Gabon, 433 , D , D , 84 , 10 , 335 , - 
Gambia," 1,034 ", 80 , 26 , 617 , 19 , 246 , 46 
Georgia," 1,353 ", 32 , 72 , 716 , 418 , 102 , 13 
Germany," 7,072 ", 295 ," 1,745 "," 4,008 ", 862 , 129 , 33 
Ghana," 9,233 ", 869 , 233 ," 4,303 "," 3,108 ", 698 , 22 
Greece," 1,196 ", 82 , 209 , 709 , 133 , 57 , 6 
Grenada, 574 , 165 , 22 , 372 , 6 , 4 , 5 
Guatemala," 10,795 "," 3,724 ", 585 ," 4,181 ", - , 715 ," 1,590 "
Guinea," 1,805 ", 93 , 26 , 424 , 261 , 953 , 48 
Guinea-Bissau, 24 , - , 3 , 16 , - , 5 , - 
Guyana," 6,288 "," 3,609 ", 124 ," 2,505 ", 23 , 9 , 18 
Haiti," 21,802 "," 8,030 ", 103 ," 10,851 ", 4 ," 2,386 ", 428 
Honduras," 6,053 "," 1,868 ", 464 ," 3,229 ", 22 , 217 , 253 
Hong Kong," 3,149 "," 1,765 ", 452 , 894 , 21 , 10 , 7 
Hungary," 1,049 ", 38 , 207 , 691 , 99 , 10 , 4 
Iceland, 94 , - , 24 , 62 , 6 , - , 2 
India," 66,331 "," 12,840 "," 31,911 "," 19,838 ", 51 ," 1,537 ", 154 
Indonesia," 2,683 ", 264 , 474 ," 1,353 ", 74 , 485 , 33 
Iran," 9,015 "," 2,415 ", 808 ," 3,505 "," 1,611 ", 666 , 10 
Iraq," 5,254 ", 172 , 50 , 619 , 9 ," 3,739 ", 665 
Ireland," 1,533 ", 38 , 459 , 907 , 116 , 11 , 2 
Israel," 4,389 ", 307 ," 1,328 "," 2,430 ", 206 , 95 , 23 
Italy," 2,670 ", 165 , 603 ," 1,606 ", 225 , 65 , 6 
Jamaica," 19,298 "," 5,922 ", 604 ," 12,661 ", 4 , 52 , 55 
Japan," 6,751 ", 207 ," 2,202 "," 4,093 ", 189 , 28 , 32 
Jordan," 8,211 "," 1,195 ", 222 ," 2,262 ", 43 ," 4,452 ", 37 
Kazakhstan," 1,044 ", 36 , 56 , 592 , 140 , 180 , 40 
Kenya," 11,074 ", 370 , 355 ," 3,196 "," 2,120 "," 4,997 ", 36 
"Korea, North", 14 , - , - , 11 , - , 3 , - 
"Korea, South"," 22,734 "," 2,478 "," 12,184 "," 7,963 ", 32 , 11 , 66 
Kosovo, 730 , 52 , 18 , 412 , 82 , 165 , 1 
Kuwait, 752 , 109 , 102 , 413 , 53 , 63 , 12 
Kyrgyzstan, 550 , 16 , 22 , 226 , 115 , 156 , 15 
Laos, 892 , 81 , 16 , 725 , - , 69 , 1 
Latvia, 424 , 13 , 20 , 331 , 42 , 13 , 5 
Lebanon," 5,054 ", 896 , 405 ," 1,537 ", 24 ," 2,172 ", 20 
Lesotho, 25 , D , D , 17 , 3 , D , - 
Liberia," 3,117 ", 378 , 40 ," 1,169 ", 899 , 626 , 5 
Libya, 265 , 4 , 16 , 198 , 36 , 10 , 1 
Lithuania, 920 , 49 , 53 , 667 , 139 , 10 , 2 
Luxembourg, 39 , - , 17 , 13 , 9 , - , - 
Macau, 225 , 159 , 14 , 47 , D , D , 1 
Macedonia," 1,078 ", 198 , 47 , 596 , 184 , 45 , 8 
Madagascar, 72 , 5 , 14 , 33 , 11 , 9 , - 
Malawi, 122 , 13 , 13 , 75 , 17 , 3 , 1 
Malaysia," 8,088 ", 169 , 582 , 729 , 79 ," 6,517 ", 12 
Mali, 647 , 28 , 34 , 321 , 36 , 187 , 41 
Malta, 193 , D , D , 17 , - , 164 , - 
Marshall Islands, 40 , - , D , 36 , - , D , - 
Mauritania, 292 , 20 , D , 56 , D , 209 , - 
Mauritius, 89 , 5 , 28 , 41 , 9 , 6 , - 
Mexico," 142,823 "," 43,567 "," 9,196 "," 83,945 ", 22 , 692 ," 5,401 "
Moldova," 2,223 ", 46 , 60 , 641 , 491 , 645 , 340 
Mongolia, 746 , 17 , 127 , 289 , 138 , 166 , 9 
Montenegro, 209 , 50 , D , 113 , D , 35 , 1 
Montserrat, 30 , 6 , D , 19 , D , - , 3 
Morocco," 4,249 ", 335 , 95 ," 2,385 "," 1,400 ", 18 , 16 
Mozambique, 79 , D , D , 40 , - , 35 , - 
Namibia, 30 , D , - , 26 , D , D , 1 
Nepal," 20,243 ", 378 ," 1,095 "," 1,521 "," 1,749 "," 15,486 ", 14 
Netherlands," 1,258 ", 66 , 485 , 594 , 75 , 31 , 7 
Netherlands Antilles, 89 , 15 , 5 , 65 , 4 , - , - 
New Zealand," 1,006 ", 120 , 246 , 517 , 109 , 4 , 10 
Nicaragua," 3,314 ", 938 , 38 ," 2,073 ", 23 , 141 , 101 
Niger, 97 , D , - , 79 , 14 , D , - 
Nigeria," 11,355 "," 1,375 ", 505 ," 6,733 "," 2,594 ", 117 , 31 
Norway, 405 , 26 , 94 , 239 , 41 , 4 , 1 
Oman, 112 , 23 , 40 , 29 , D , D , - 
Pakistan," 15,304 "," 5,396 "," 2,302 "," 7,014 ", 19 , 511 , 62 
Palau, 21 , - , 9 , 7 , - , 5 , - 
Panama," 1,447 ", 279 , 111 ," 1,003 ", 6 , 36 , 12 
Papua New Guinea, 22 , D , D , 18 , D , - , - 
Paraguay, 501 , 54 , 42 , 368 , 6 , 24 , 7 
Peru," 13,836 "," 3,573 ", 932 ," 8,676 ", 3 , 506 , 146 
Philippines," 55,251 "," 19,947 "," 7,008 "," 28,160 ", 5 , 46 , 85 
Poland," 6,634 "," 1,617 ", 878 ," 4,074 ", 12 , 19 , 34 
Portugal, 878 , 103 , 112 , 630 , 21 , 4 , 8 
Qatar, 396 , 84 , 52 , 170 , 77 , 13 , - 
Romania," 3,679 ", 269 , 513 ," 2,325 ", 379 , 182 , 11 
Russia," 8,548 ", 389 ," 1,286 "," 3,988 "," 1,460 "," 1,359 ", 66 
Rwanda, 443 , D , D , 106 , 64 , 256 , 4 
Saint Kitts-Nevis, 342 , 168 , D , 158 , D , - , 1 
Saint Lucia, 786 , 180 , 28 , 570 , 5 , - , 3 
Saint Vincent and the Grenadines, 432 , 112 , 9 , 303 , 4 , - , 4 
Samoa, 251 , 15 , D , 231 , D , - , - 
Saudi Arabia," 1,553 ", 296 , 202 , 751 , 190 , 111 , 3 
Senegal," 1,506 ", 134 , 84 , 942 , 111 , 200 , 35 
Serbia, 283 , D , 91 , 163 , D , 19 , - 
Serbia and Montenegro," 1,222 ", 78 , 64 , 778 , 115 , 172 , 15 
Seychelles, 16 , D , D , 5 , 5 , - , - 
Sierra Leone," 1,777 ", 147 , 44 , 997 , 291 , 281 , 17 
Singapore," 1,462 ", 86 , 981 , 337 , 24 , 24 , 10 
Slovakia, 548 , D , 130 , 362 , 30 , D , 2 
Slovenia, 63 , D , 11 , 47 , - , D , 1 
Somalia, 602 , D , D , 149 , D , 444 , - 
South Africa," 2,754 ", 132 , 793 ," 1,272 ", 355 , 179 , 23 
Soviet Union (former)," 2,792 ", 45 , 19 ," 2,521 ", 56 , 38 , 113 
Spain," 2,319 ", 186 , 620 ," 1,232 ", 131 , 136 , 14 
Sri Lanka," 1,796 ", 193 , 400 , 468 , 343 , 388 , 4 
Sudan," 1,687 ", 80 , 18 , 563 , 355 , 668 , 3 
Suriname, 167 , 29 , D , 112 , - , D , 10 
Swaziland, 28 , - , D , 17 , D , 5 , - 
Sweden," 1,125 ", 55 , 355 , 619 , 66 , 20 , 10 
Switzerland, 861 , 32 , 368 , 352 , 90 , 13 , 6 
Syria," 7,983 ", 849 , 240 ," 1,216 ", 35 ," 5,621 ", 22 
Taiwan," 6,206 "," 1,475 "," 2,070 "," 2,426 ", 222 , 4 , 9 
Tajikistan, 299 , 4 , 20 , 111 , 126 , 33 , 5 
Tanzania," 2,327 ", 56 , 64 , 463 , 39 ," 1,702 ", 3 
Thailand," 18,120 ", 406 , 489 ," 3,595 ", 37 ," 13,465 ", 128 
Togo," 1,387 ", 113 , 17 , 568 , 416 , 271 , 2 
Tonga, 386 , 100 , D , 268 , D , - , 3 
Trinidad and Tobago," 5,034 "," 1,076 ", 356 ," 3,468 ", 56 , 12 , 66 
Tunisia, 404 , 15 , 39 , 293 , 44 , 9 , 4 
Turkey," 9,040 ", 205 ," 1,066 "," 2,006 ", 908 ," 4,839 ", 16 
Turkmenistan, 225 , 7 , 16 , 72 , 68 , 62 , - 
Turks and Caicos Islands, 43 , 11 , 3 , 28 , - , - , 1 
Uganda," 1,434 ", 90 , 69 , 645 , 155 , 460 , 15 
Ukraine," 8,133 ", 607 , 417 ," 4,116 "," 1,606 ", 886 , 501 
United Arab Emirates," 1,700 ", 323 , 409 , 606 , 186 , 142 , 34 
United Kingdom," 13,443 "," 1,106 "," 5,268 "," 6,553 ", 429 , 31 , 56 
Uruguay," 1,521 ", 49 , 122 ," 1,159 ", 7 , 156 , 28 
Uzbekistan," 4,786 ", 104 , 72 , 684 ," 3,466 ", 413 , 47 
Venezuela," 9,229 ", 780 ," 2,089 "," 4,543 ", 416 ," 1,366 ", 35 
Vietnam," 33,486 "," 19,156 ", D ," 12,404 ", D ," 1,639 ", 72 
Yemen," 3,434 ", 819 , 30 ," 2,241 ", 50 , 293 , 1 
Zambia, 762 , 27 , 56 , 403 , 25 , 248 , 3 
Zimbabwe, 995 , 43 , 84 , 367 , 66 , 425 , 10 
All other countries, 76 , 13 , 15 , 40 , 5 , 3 , - 
Unknown," 6,217 ", 690 , 748 ," 2,649 ", 139 ," 1,097 ", 894 
