Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total," 990,553 "," 210,303 "," 161,110 "," 439,460 "," 45,618 "," 119,630 "," 14,432 "
Afghanistan," 1,624 ", 182 , 46 , 580 , 53 , 196 , 567 
Albania," 2,926 ", 317 , 70 ," 1,483 ", 837 , 215 , 4 
Algeria," 1,162 ", 71 , 28 , 415 , 602 , 42 , 4 
Angola, 141 , 16 , 13 , 61 , 17 , 34 , - 
Anguilla, 32 , 19 , D , D , - , - , 1 
Antigua-Barbuda, 407 , 170 , 9 , 210 , 11 , 6 , 1 
Argentina," 4,227 ", 321 ," 1,158 "," 2,404 ", 32 , 247 , 65 
Armenia," 2,769 ", 249 , 114 ," 1,280 ", 775 , 344 , 7 
Aruba, 51 , 6 , 10 , 35 , - , - , - 
Australia," 3,529 ", 180 ," 1,245 "," 1,638 ", 440 , 11 , 15 
Austria," 1,053 ", 23 , 162 , 218 , 38 , 607 , 5 
Azerbaijan, 447 , 19 , 51 , 188 , 101 , 84 , 4 
Bahamas, 691 , 86 , 77 , 483 , 19 , 21 , 5 
Bahrain, 167 , 18 , 46 , 79 , 7 , 17 , - 
Bangladesh," 11,819 "," 6,208 ", 579 ," 4,666 ", 91 , 227 , 48 
Barbados, 477 , 158 , 44 , 270 , D , D , - 
Belarus," 1,989 ", 89 , 167 , 649 , 697 , 375 , 12 
Belgium, 803 , 25 , 385 , 317 , 61 , 11 , 4 
Belize, 969 , 306 , 64 , 562 , 11 , 11 , 15 
Benin, 373 , 21 , D , 183 , 129 , 34 , D 
Bermuda, 121 , 16 , 34 , 65 , 3 , - , 3 
Bhutan, 159 , 3 , 8 , 23 , 4 , 120 , 1 
Bolivia," 2,005 ", 474 , 298 ," 1,104 ", 28 , 73 , 28 
Bosnia-Herzegovina, 591 , 37 , 40 , 422 , 33 , 59 , - 
Botswana, 101 , - , 34 , 33 , 8 , 26 , - 
Brazil," 10,772 ", 556 ," 2,636 "," 7,205 ", 3 , 259 , 113 
British Virgin Islands, 89 , 30 , 6 , 47 , 6 , - , - 
Brunei, 30 , 3 , 10 , 14 , 3 , - , - 
Bulgaria," 2,720 ", 115 , 340 ," 1,422 ", 780 , 54 , 9 
Burkina Faso, 618 , 21 , 22 , 298 , 128 , 145 , 4 
Burma," 2,064 ", 413 , 62 , 647 , 165 , 776 , 1 
Burundi, 172 , D , D , 30 , 14 , 118 , - 
Cambodia," 2,525 ", 363 , 45 ," 1,721 ", 335 , 56 , 5 
Cameroon," 3,777 ", 236 , 90 ," 1,167 "," 1,096 "," 1,181 ", 7 
Canada," 20,489 "," 1,848 "," 10,528 "," 7,416 ", 345 , 77 , 275 
Cape Verde," 1,669 ", 876 , 8 , 777 , 3 , D , D 
Cayman Islands, 97 , 14 , 17 , 57 , 5 , 4 , - 
Central African Republic, 94 , 7 , D , 17 , D , 66 , 1 
Chad, 190 , 7 , 4 , 22 , 3 , 153 , 1 
Chile," 1,751 ", 205 , 398 ," 1,061 ", 15 , 58 , 14 
"China, People's Republic"," 68,410 "," 12,688 "," 18,507 "," 23,623 ", 33 ," 13,421 ", 138 
Colombia," 20,611 "," 5,271 "," 1,667 "," 12,467 ", 9 ," 1,089 ", 108 
"Congo, Democratic Republic"," 1,804 ", 57 , 21 , 384 ," 1,025 ", 316 , 1 
"Congo, Republic", 932 , 30 , 11 , 194 , 503 , 191 , 3 
Costa Rica," 2,232 ", 267 , 224 ," 1,620 ", 17 , 83 , 21 
Cote d'Ivoire," 1,357 ", 119 , 49 , 587 , 193 , 375 , 34 
Croatia, 316 , 9 , 59 , 199 , 19 , 29 , 1 
Cuba," 31,343 "," 2,468 ", 6 ," 3,048 ", 186 ," 25,631 ", 4 
Cyprus, 174 , 8 , 77 , 64 , 15 , 9 , 1 
Czech Republic, 665 , 23 , 137 , 462 , 28 , 7 , 8 
Czechoslovakia (former), 90 , 4 , 43 , 31 , 3 , 3 , 6 
Denmark, 546 , 28 , 249 , 239 , 19 , 8 , 3 
Djibouti, 122 , 3 , 3 , 19 , 3 , 94 , - 
Dominica, 226 , 143 , 6 , 70 , D , - , D 
Dominican Republic," 41,487 "," 22,291 ", 390 ," 18,578 ", 28 , 106 , 94 
Ecuador," 10,553 "," 4,055 ", 886 ," 5,140 ", D , 242 , D 
Egypt," 10,719 ", 869 , 783 ," 3,301 "," 3,028 "," 2,700 ", 38 
El Salvador," 18,015 "," 8,226 ", 793 ," 7,412 ", - , 401 ," 1,183 "
Equatorial Guinea, 23 , D , D , 11 , D , D , - 
Eritrea, 929 , 66 , 10 , 275 , 44 , 533 , 1 
